outer_fold,feature_index,feature,document_frequency,treated_count,control_count,raw_moment,standard_error,z_score,tail_score,source_sign_agreement,subsample_sign_agreement,subsample_top_pool_frequency,tail_sign_agreement,eligible,ranking_score,rank
1,10929,e.g. capmatinib tepotinib,96,51,45,-0.00010211755623716658,3.2112370007532846e-05,-3.180006838897661,-0.24712348,1.0,1.0,0.7333333333333333,1.0,True,2.5440054711181284,58
1,10562,dizziness,573,303,270,-8.676427523386352e-05,2.741530208795546e-05,-3.164811934426293,-0.27122623,1.0,1.0,0.7333333333333333,1.0,True,2.531849547541034,59
1,20502,obtained for attenuation,288,147,141,-8.797025097406606e-05,2.7919565373826472e-05,-3.1508460033742076,-0.18021789,1.0,1.0,0.7333333333333333,1.0,True,2.520676802699366,60
1,24651,respiratory cough dyspnea,133,72,61,0.00010629108644156211,3.2796424425604995e-05,3.2409352026368454,0.2670296,1.0,1.0,0.7,1.0,True,2.511724782043555,61
1,23997,rashes psychiatric,96,45,51,8.233993447724576e-05,2.5493717407077806e-05,3.229812787302089,0.3243742,1.0,1.0,0.7,1.0,True,2.5031049101591187,62
1,1757,000 mg,50,22,28,-8.677382486811782e-05,2.6874080721907857e-05,-3.2289039303725637,-0.24075998,1.0,1.0,0.7,1.0,True,2.5024005460387366,63
1,16785,low-dose ct obtained,116,54,62,-8.993450406631375e-05,2.876341788619265e-05,-3.126697405091248,-0.21924277,1.0,1.0,0.7333333333333333,1.0,True,2.501357924072998,64
1,19895,node,667,352,315,-0.00013473123008307043,4.3163636955281034e-05,-3.121405877420767,-0.3966985,1.0,1.0,0.7333333333333333,1.0,True,2.497124701936613,65
1,24677,response after,76,46,30,-8.590589119102519e-05,2.6759260676855267e-05,-3.210323791394105,-0.3237219,1.0,1.0,0.7,1.0,True,2.488000938330431,66
1,29599,with brain,138,69,69,0.00015148242122295876,4.74252028825366e-05,3.194133330291755,0.3259622,1.0,1.0,0.7,1.0,True,2.47545333097611,67
1,27175,that resolved,61,29,32,9.276992099190879e-05,2.9135189973999522e-05,3.184119309834513,0.35695732,1.0,1.0,0.7,1.0,True,2.4676924651217473,68
1,1584,. he,394,185,209,-0.00014938252906965586,4.721493012966731e-05,-3.163883302578308,-0.33736187,1.0,1.0,0.7,1.0,True,2.4520095594981886,69
